City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,100,AU,1622616337,59,-42.7826,147.0587,57.58,3.36
Severo-Kuril'sk,47,RU,1622616337,81,50.6789,156.125,42.44,2.71
Najrān,46,SA,1622616337,13,17.4924,44.1277,90.25,13.51
Eidsvåg,23,NO,1622616338,44,62.7767,8.0668,61.45,3.29
Mattru,89,SL,1622616338,93,7.6244,-11.8332,74.28,1.1
Bozüyük,84,TR,1622616339,80,39.9078,30.0367,49.26,10.6
Waterloo,1,CA,1622616101,87,43.4668,-80.5164,54.0,2.77
Atuona,100,PF,1622616339,74,-9.8,-139.0333,79.43,17.72
San Patricio,100,US,1622616208,81,28.017,-97.5169,76.87,3.29
Rikitea,0,PF,1622616340,60,-23.1203,-134.9692,71.69,19.39
Khatanga,99,RU,1622616340,94,71.9667,102.5,35.2,16.73
Hamilton,90,US,1622616252,94,39.1834,-84.5333,64.4,1.99
Fare,100,PF,1622616154,71,-16.7,-151.0167,79.61,14.07
Blagoyevo,21,RU,1622616341,41,63.3667,47.9167,53.89,9.24
Cabo San Lucas,87,MX,1622616262,50,22.8909,-109.9124,82.4,10.45
Qaqortoq,89,GL,1622616342,82,60.7167,-46.0333,37.9,1.34
Hilo,40,US,1622616223,82,19.7297,-155.09,74.93,4.61
Ancud,100,CL,1622616342,79,-41.8697,-73.8203,44.22,4.25
Saint Paul Harbor,90,US,1622616283,93,57.79,-152.4072,45.91,13.8
Puerto Ayora,65,EC,1622616342,92,-0.7393,-90.3518,72.55,5.01
Ranfurly,0,NZ,1622616343,91,-45.1333,170.1,39.65,3.0
George Town,20,MY,1622616309,66,5.4112,100.3354,91.35,9.22
Torbay,90,CA,1622616343,93,47.6666,-52.7314,46.76,19.57
Salalah,40,OM,1622616344,70,17.0151,54.0924,87.89,12.66
Bandon,100,IE,1622616344,96,51.7469,-8.7425,55.45,3.24
Mārāndahalli,50,IN,1622616344,40,12.4,78.0,89.89,2.89
Cape Town,0,ZA,1622616158,86,-33.9258,18.4232,55.81,1.99
Norman Wells,75,CA,1622616345,81,65.282,-126.8329,46.44,4.61
Ostrovnoy,100,RU,1622616345,87,68.0531,39.5131,43.36,20.74
Fort Nelson,75,CA,1622616343,35,58.8053,-122.7002,69.39,6.91
Forsytheganj,100,BY,1622616345,61,52.6333,29.7333,57.97,12.55
Nīmbāhera,0,IN,1622616346,23,24.6167,74.6833,102.07,9.37
San Quintín,0,MX,1622616346,89,30.4833,-115.95,59.5,7.94
Vaini,75,TO,1622616346,83,-21.2,-175.2,71.76,3.44
Makkah al Mukarramah,5,SA,1622616127,26,21.4267,39.8261,100.92,7.25
Punta Arenas,0,CL,1622616347,93,-53.15,-70.9167,19.51,0.6
Talnakh,93,RU,1622616347,96,69.4865,88.3972,36.77,15.46
Saint George,1,US,1622616343,15,37.1041,-113.5841,82.99,3.0
Qaanaaq,87,GL,1622616347,93,77.484,-69.3632,20.43,3.98
Ushuaia,90,AR,1622616348,100,-54.8,-68.3,29.86,10.36
Sungai Penuh,90,ID,1622616348,71,-2.0833,101.3833,76.91,4.12
Hermanus,14,ZA,1622616349,72,-34.4187,19.2345,54.9,4.52
Tura,99,IN,1622616349,63,25.5198,90.2201,86.94,6.13
Jamestown,1,US,1622616350,79,42.097,-79.2353,56.84,5.75
Upernavik,37,GL,1622616350,93,72.7868,-56.1549,25.72,5.61
Port Alfred,69,ZA,1622616350,80,-33.5906,26.891,61.47,16.8
Saint-Philippe,95,RE,1622616351,81,-21.3585,55.7679,80.47,14.09
Busselton,100,AU,1622616351,67,-33.65,115.3333,65.05,3.11
Hofn,90,IS,1622616195,83,64.2539,-15.2082,46.18,18.7
Hambantota,75,LK,1622616351,62,6.1241,81.1185,93.54,18.25
Lüderitz,0,NA,1622616352,38,-26.6481,15.1594,61.84,9.46
Tasiilaq,58,GL,1622616352,73,65.6145,-37.6368,32.16,4.43
Zihuatanejo,100,MX,1622616106,77,17.6333,-101.55,82.02,3.22
Albany,100,US,1622616331,87,42.6001,-73.9662,53.85,2.26
Emba,19,KZ,1622616353,44,48.8264,58.1442,80.28,1.74
Eureka,73,US,1622616353,94,40.8021,-124.1637,54.19,1.01
Mataura,17,NZ,1622616354,98,-46.1927,168.8643,49.48,0.69
Fortuna,90,US,1622616354,74,40.5982,-124.1573,53.92,0.0
Kidal,0,ML,1622616354,9,18.4411,1.4078,93.58,3.71
Basco,15,PH,1622616355,78,20.4487,121.9702,84.97,14.18
Sechura,53,PE,1622616355,77,-5.5569,-80.8222,67.37,9.06
Korem,0,ET,1622616355,29,12.5058,39.5228,70.29,7.23
Kapaa,1,US,1622616356,77,22.0752,-159.319,78.78,9.95
Butaritari,97,KI,1622616356,77,3.0707,172.7902,83.26,15.21
Longyearbyen,75,SJ,1622616356,93,78.2186,15.6401,35.44,5.75
Port Elizabeth,0,ZA,1622616198,77,-33.918,25.5701,60.8,9.22
Iqaluit,90,CA,1622616357,93,63.7506,-68.5145,31.73,15.01
Ponta do Sol,100,PT,1622616357,79,32.6667,-17.1,66.0,2.33
Turukhansk,53,RU,1622616357,53,65.8167,87.9833,50.56,9.08
Coquimbo,90,CL,1622616265,100,-29.9533,-71.3436,53.33,2.44
Lompoc,90,US,1622616358,100,34.6391,-120.4579,59.11,3.36
Hasaki,100,JP,1622616358,73,35.7333,140.8333,77.29,12.64
Bestöbe,34,KZ,1622616358,51,52.4994,73.0975,72.72,11.34
Sargatskoye,15,RU,1622616359,45,55.6101,73.4972,63.79,7.9
Luwuk,11,ID,1622616359,66,-0.9516,122.7875,86.22,6.35
Svetlaya,54,RU,1622616359,84,46.5389,138.3297,55.89,8.39
‘Ewa Beach,1,US,1622616360,68,21.3156,-158.0072,78.75,11.01
Sinnamary,95,GF,1622616360,89,5.3833,-52.95,75.97,2.82
São José da Coroa Grande,71,BR,1622616361,80,-8.8978,-35.1478,74.34,2.15
Pevek,9,RU,1622616361,67,69.7008,170.3133,38.5,6.24
Bluff,11,NZ,1622616361,78,-46.6,168.3333,49.8,20.94
Hobart,0,AU,1622616362,58,-42.8794,147.3294,57.92,3.0
Gorin,31,RU,1622616362,49,51.1983,136.6669,69.01,10.33
Kasempa,52,ZM,1622616363,53,-13.4584,25.8338,69.3,7.96
Danbury,1,US,1622616363,90,41.3948,-73.454,60.19,0.0
Filandia,100,CO,1622616364,92,4.6747,-75.6583,54.88,3.27
Saskylakh,100,RU,1622616364,92,71.9167,114.0833,50.88,15.19
Solnechnyy,41,RU,1622616364,49,50.7214,136.6319,65.57,10.13
Castro,66,BR,1622616365,93,-24.7911,-50.0119,50.72,3.2
Srednekolymsk,9,RU,1622616365,20,67.45,153.6833,68.81,6.64
Shingū,100,JP,1622616365,76,33.7333,135.9833,74.39,7.45
Ivanava,50,BY,1622616366,61,52.1451,25.5365,58.86,8.99
Tezu,54,IN,1622616366,63,27.9167,96.1667,89.55,2.62
Doha,0,QA,1622616367,26,25.2867,51.5333,105.78,11.5
Nyurba,96,RU,1622616367,41,63.2842,118.3319,76.08,2.33
Lata,35,PT,1622616367,80,40.1629,-8.3327,60.04,1.66
Barrow,90,US,1622616368,69,71.2906,-156.7887,30.22,16.11
Berlevåg,0,NO,1622616368,62,70.8578,29.0864,57.15,17.27
Tuy Hoa,100,VN,1622616368,55,13.0833,109.3,93.45,10.38
Dikson,100,RU,1622616369,94,73.5069,80.5464,34.34,13.11
Lavrentiya,7,RU,1622616141,72,65.5833,-171.0,31.08,14.18
Bilma,99,NE,1622616369,10,18.6853,12.9164,94.19,8.23
Avera,30,US,1622616169,95,33.194,-82.5271,66.7,5.48
Vitória,75,BR,1622616369,94,-20.3194,-40.3378,71.85,3.0
Myitkyina,29,MM,1622616370,75,25.3833,97.4,87.06,2.89
Flinders,100,AU,1622616370,61,-34.5833,150.8552,67.28,3.51
Adrar,1,MR,1622616371,32,20.5022,-10.0711,85.86,7.87
Bowling Green,90,US,1622616371,95,36.9903,-86.4436,66.72,0.0
Lebu,63,CL,1622616371,92,-37.6167,-73.65,52.36,5.14
Inuvik,90,CA,1622616372,81,68.3499,-133.7218,31.06,11.5
Leesburg,75,US,1622616372,82,39.1157,-77.5636,66.69,1.99
Thompson,75,CA,1622616155,58,55.7435,-97.8558,59.16,9.22
Bontang,100,ID,1622616372,79,0.1333,117.5,83.88,10.07
Dhārchula,20,IN,1622616373,37,29.85,80.5333,84.13,7.49
Monrovia,100,LR,1622616373,85,6.3005,-10.7969,77.29,2.19
Narsaq,92,GL,1622616373,68,60.9167,-46.05,37.62,3.27
Chokurdakh,32,RU,1622616374,20,70.6333,147.9167,71.76,8.25
Vilyuysk,100,RU,1622616374,48,63.7553,121.6247,67.82,5.32
Kaitangata,12,NZ,1622616374,93,-46.2817,169.8464,46.08,4.45
Montepuez,100,MZ,1622616375,59,-13.1256,38.9997,74.59,5.17
Maracaibo,100,VE,1622616375,89,10.6317,-71.6406,77.11,2.53
Tuktoyaktuk,99,CA,1622616375,88,69.4541,-133.0374,31.12,8.01
Bredasdorp,25,ZA,1622616376,93,-34.5322,20.0403,45.72,3.58
Spasskoye,100,RU,1622616376,66,44.6108,132.7969,67.73,12.44
Aykhal,100,RU,1622616376,33,66.0,111.5,74.66,18.75
Ribeira Grande,75,PT,1622616377,63,38.5167,-28.7,59.4,8.05
Aden,6,YE,1622616371,71,12.7794,45.0367,88.16,12.66
Mar del Plata,0,AR,1622616300,87,-38.0023,-57.5575,49.08,1.99
Nueve de Julio,6,AR,1622616189,62,-35.4444,-60.8831,48.0,3.0
Bambous Virieux,40,MU,1622616136,73,-20.3428,57.7575,80.22,16.91
Nauta,100,PE,1622616377,94,-4.5061,-73.5757,72.14,0.96
Caravelas,44,BR,1622616378,90,-17.7125,-39.2481,70.86,0.78
Nome,1,US,1622616378,40,64.5011,-165.4064,46.47,19.57
Xining,100,CN,1622616378,26,36.6167,101.7667,65.1,15.21
Örnsköldsvik,80,SE,1622616379,42,63.2909,18.7153,65.35,4.79
Valparaíso,100,CL,1622616379,73,-33.0393,-71.6273,62.47,11.07
East London,40,ZA,1622616379,94,-33.0153,27.9116,58.14,12.66
San Cristobal,100,VE,1622616191,96,7.7669,-72.225,64.17,2.24
Maryville,75,US,1622616235,83,35.7565,-83.9705,67.6,0.0
Tuatapere,14,NZ,1622616197,79,-46.1333,167.6833,50.0,5.01
Klaksvík,92,FO,1622616380,84,62.2266,-6.589,49.12,6.51
Nikolskoye,100,RU,1622616380,54,59.7035,30.7861,59.81,4.97
Semporna,100,MY,1622616381,73,4.4818,118.6112,89.8,9.6
Olinda,40,BR,1622616381,88,-8.0089,-34.8553,69.53,6.26
Olafsvik,62,IS,1622616382,76,64.8945,-23.7142,44.56,16.4
Gizo Government Station,100,SB,1622616382,80,-8.103,156.8419,82.53,7.52
Husavik,5,IS,1622616382,60,66.0449,-17.3389,46.31,12.59
Deputatsky,92,RU,1622616382,31,69.3,139.9,63.37,8.97
Zelenogorskiy,10,RU,1622616383,28,55.0333,87.0,81.12,1.1
Nanortalik,96,GL,1622616383,89,60.1432,-45.2371,37.53,4.72
Haines Junction,100,CA,1622616383,46,60.7522,-137.5108,51.75,5.75
Kyra,100,RU,1622616384,28,49.5776,111.9753,58.96,7.31
Gouré,100,NE,1622616384,51,13.9835,10.2704,86.02,11.3
Dingle,100,PH,1622616384,84,10.9995,122.6711,78.96,12.66
La Ronge,40,CA,1622616268,48,55.1001,-105.2842,66.45,4.61
Edmundston,1,CA,1622616385,76,47.3737,-68.3251,53.69,10.36
Sept-Îles,75,CA,1622616385,89,50.2001,-66.3821,50.52,5.75
Atikokan,100,CA,1622616385,85,48.7555,-91.6216,52.2,5.44
Portland,9,US,1622616260,67,45.5234,-122.6762,77.04,2.13
Bethel,1,US,1622616339,87,41.3712,-73.414,60.67,0.0
Quatre Cocos,32,MU,1622616386,71,-20.2078,57.7625,80.1,17.13
Florø,0,NO,1622616386,94,61.5996,5.0328,64.47,5.75
Rome,1,US,1622616339,87,43.2128,-75.4557,59.88,0.0
Sturgeon Falls,100,CA,1622616387,83,46.3646,-79.9326,53.56,5.84
Kruisfontein,81,ZA,1622616387,72,-34.0033,24.7314,54.88,13.04
Provideniya,40,RU,1622616388,60,64.3833,-173.3,39.31,13.42
Burnie,100,AU,1622616388,77,-41.0667,145.9167,54.68,1.43
Aklavik,100,CA,1622616388,100,68.2191,-135.0107,31.03,5.5
Obo,100,CF,1622616389,95,5.3998,26.4869,68.74,5.23
Yellowknife,75,CA,1622616305,100,62.456,-114.3525,52.32,4.61
Estremoz,7,PT,1622616389,76,38.8443,-7.5859,56.48,3.04
Naryan-Mar,100,RU,1622616390,44,67.6713,53.087,44.44,21.45
Cidreira,100,BR,1622616390,69,-30.1811,-50.2056,57.42,5.88
Tiksi,100,RU,1622616390,86,71.6872,128.8694,37.67,5.97
Raudeberg,99,NO,1622616391,71,61.9875,5.1352,60.4,10.11
Salinópolis,11,BR,1622616391,85,-0.6136,-47.3561,78.04,9.01
Evensk,46,RU,1622616391,56,61.95,159.2333,49.03,5.55
Bengkulu,12,ID,1622616392,61,-3.8004,102.2655,86.25,6.64
Bafatá,96,GW,1622616392,79,12.1667,-14.75,74.89,3.51
Avarua,99,CK,1622616392,94,-21.2078,-159.775,68.05,1.14
Oodweyne,22,SO,1622616393,48,9.4092,45.064,80.29,22.06
Bathsheba,40,BB,1622616393,65,13.2167,-59.5167,79.41,10.45
Kamaishi,53,JP,1622616394,75,39.2667,141.8833,76.15,7.36
Glenwood Springs,100,US,1622616394,39,39.5505,-107.3248,60.03,3.11
Guararé,99,PA,1622616394,82,7.8167,-80.2833,70.57,5.64
Douglas,40,US,1622616395,78,41.3,-96.167,64.27,1.01
Carnarvon,83,AU,1622616395,46,-24.8667,113.6333,71.67,12.66
Sabang,100,ID,1622616395,74,5.8933,95.3214,83.43,10.74
Micheweni,15,TZ,1622616396,74,-4.9667,39.8333,79.48,10.54
Viedma,7,AR,1622616396,66,-40.8135,-62.9967,47.14,15.75
Lagoa,100,PT,1622616396,57,39.05,-27.9833,58.71,10.22
Flin Flon,94,CA,1622616397,96,54.7682,-101.865,54.79,7.38
Sotuta,3,MX,1622616397,88,20.6,-89.0167,72.7,3.06
Clonakilty,100,IE,1622616397,94,51.6231,-8.8706,55.09,5.35
North Bend,90,US,1622616398,93,43.4065,-124.2243,57.92,4.61
Tibiri,0,NE,1622616398,57,13.5627,7.0485,79.14,16.91
Georgiyevskoye,39,RU,1622616398,45,58.731,45.024,59.05,7.78
Saint-Augustin,9,CA,1622616399,88,51.226,-58.6502,47.16,4.21
Muroto-misakicho,100,JP,1622616399,79,33.2833,134.15,73.44,14.18
Dzilam González,8,MX,1622616399,91,21.2833,-88.9333,73.53,5.06
Honningsvåg,0,NO,1622616345,71,70.9821,25.9704,54.93,12.66
Harlingen,1,US,1622616301,74,26.1906,-97.6961,75.38,4.61
Airai,89,TL,1622616247,73,-8.9266,125.4092,68.65,2.46
Kungurtug,0,RU,1622616400,23,50.5994,97.5228,69.71,2.35
Itaituba,12,BR,1622616400,77,-4.2761,-55.9836,73.72,0.58
Puerto Carreño,100,CO,1622616203,94,6.189,-67.4859,72.99,4.16
Baffa,27,PK,1622616401,39,34.4378,73.2194,85.37,4.88
Hithadhoo,100,MV,1622616401,68,-0.6,73.0833,83.8,15.84
Aquiraz,3,BR,1622616401,82,-3.9014,-38.3911,78.89,9.46
Markova,100,UA,1622616402,81,48.6758,24.4138,53.19,4.61
Broome,100,US,1622616402,76,42.2506,-75.833,58.06,2.64
Matara,47,LK,1622616402,68,5.9485,80.5353,85.91,13.38
High Level,40,CA,1622616403,72,58.5169,-117.136,62.71,3.58
Muros,100,ES,1622616403,94,42.7762,-9.0603,61.23,5.95
Parchim,23,DE,1622616403,73,53.4263,11.8488,58.17,10.56
Tiarei,71,PF,1622616404,69,-17.5333,-149.3333,75.22,14.92
Chui,100,UY,1622616404,77,-33.6971,-53.4616,56.35,7.63
Concarneau,51,FR,1622616404,93,47.875,-3.9225,63.37,7.52
Ketchikan,90,US,1622616192,100,55.3422,-131.6461,54.07,5.75
Lafia,100,NG,1622616405,71,8.4833,8.5167,79.0,5.32
Alma,30,CA,1622616405,95,48.5501,-71.6491,52.63,4.21
Kavieng,99,PG,1622616406,83,-2.5744,150.7967,81.0,14.99
Biak,10,ID,1622616406,67,-0.9131,122.8766,83.52,7.27
Labuhan,99,ID,1622616406,69,-6.8844,112.2051,84.63,9.6
Klaeng,90,TH,1622616407,61,12.7797,101.6483,95.95,9.28
Harper,74,LR,1622616407,86,4.375,-7.7169,78.12,0.45
The Valley,74,AI,1622616201,71,18.217,-63.0578,80.1,18.23
Westport,1,US,1622616237,85,41.1415,-73.3579,62.37,1.01
Goderich,82,CA,1622616407,82,43.7501,-81.7165,54.91,1.14
Bubaque,22,GW,1622616408,83,11.2833,-15.8333,78.57,10.45
Kresttsy,100,RU,1622616408,61,58.2452,32.5165,57.42,5.35
Alekseyevsk,73,RU,1622616408,21,57.8406,108.3492,81.55,3.98
Saldanha,26,ZA,1622616409,80,-33.0117,17.9442,46.45,8.08
Neuquén,0,AR,1622616368,71,-38.9516,-68.0591,48.09,2.3
Rio Grande,100,BR,1622616409,69,-32.035,-52.0986,58.86,9.26
Águas Vermelhas,15,BR,1622616134,98,-15.7472,-41.46,58.05,2.44
Rauma,80,FI,1622616410,64,61.1272,21.5113,62.64,3.74
Prince Albert,40,CA,1622616410,52,53.2001,-105.7677,64.35,6.91
Dhidhdhoo,95,MV,1622616410,68,6.8833,73.1,83.5,16.51
Dunedin,11,NZ,1622616411,74,-45.8742,170.5036,49.8,1.01
Acapulco de Juárez,35,MX,1622616360,80,16.8634,-99.8901,80.94,3.76
Clyde River,90,CA,1622616411,93,70.4692,-68.5914,26.83,3.44
Oshnavīyeh,0,IR,1622616412,21,37.0397,45.0983,75.45,19.84
Nova Olímpia,77,BR,1622616412,69,-14.7972,-57.2881,69.94,1.99
Benghazi,6,LY,1622616412,52,32.1167,20.0667,73.69,10.65
Port Blair,26,IN,1622616412,68,11.6667,92.75,86.22,5.17
Karratha,95,AU,1622616251,25,-20.7377,116.8463,79.56,14.47
Jizan,6,SA,1622616130,39,17.3333,42.6667,95.94,10.18
Ukiah,1,US,1622616413,58,39.1502,-123.2078,73.29,5.75
Chornobay,100,UA,1622616413,91,49.6708,32.3239,49.98,17.09
Santa Rosa,100,PH,1622616124,80,14.3122,121.1114,83.86,17.25
Vila Velha,75,BR,1622616414,94,-20.3297,-40.2925,71.94,3.0
Izumo,75,JP,1622616414,54,35.3667,132.7667,80.49,3.42
Belaya Gora,99,RU,1622616415,21,68.5333,146.4167,70.48,9.28
Aswān,0,EG,1622616415,14,24.0934,32.907,100.89,18.14
Pinega,100,RU,1622616415,77,64.7001,43.3936,49.19,7.67
Paamiut,81,GL,1622616415,78,61.994,-49.6678,37.4,4.12
Vila Franca do Campo,82,PT,1622616120,75,37.7167,-25.4333,59.41,7.56
Plettenberg Bay,13,ZA,1622616416,66,-34.0527,23.3716,58.24,5.82
Māngrol,9,IN,1622616416,65,21.1167,70.1167,87.69,11.88
Marfino,0,RU,1622616417,34,55.7028,37.3822,62.85,10.87
Sitka,90,US,1622616214,87,57.0531,-135.33,51.69,4.61
Sibolga,96,ID,1622616417,69,1.7427,98.7792,86.54,6.6
Los Llanos de Aridane,75,ES,1622616417,85,28.6585,-17.9182,64.15,6.22
Sorong,76,ID,1622616418,77,-0.8833,131.25,82.56,4.25
Codrington,100,AU,1622616418,60,-38.2667,141.9667,58.3,6.76
Levice,100,SK,1622616418,59,48.2156,18.6071,63.5,4.12
Laguna,1,US,1622616419,50,38.421,-121.4238,84.04,5.84
Lorengau,55,PG,1622616419,83,-2.0226,147.2712,80.87,10.49
Port Lincoln,59,AU,1622616419,65,-34.7333,135.8667,64.22,10.47
Coyhaique,75,CL,1622616418,75,-45.5752,-72.0662,42.75,5.75
Buenos Aires,0,AR,1622616420,80,-34.6132,-58.3772,56.93,5.75
Yeniseysk,23,RU,1622616420,25,58.4497,92.1703,79.95,7.14
Hecun,99,CN,1622616421,17,36.5333,114.1111,96.13,12.82
Margate,95,GB,1622616208,81,51.3813,1.3862,64.0,10.76
Cherskiy,73,RU,1622616421,30,68.75,161.3,63.59,11.56
Thinadhoo,100,MV,1622616421,70,0.5333,72.9333,84.0,15.88
Champerico,89,GT,1622616422,84,14.3,-91.9167,81.36,5.57
Cockburn Town,65,TC,1622616422,78,21.4612,-71.1419,79.74,21.23
Bowen,89,AU,1622616422,68,-20.0167,148.2333,73.62,12.06
Lufilufi,3,WS,1622616423,66,-13.8745,-171.5986,76.78,16.02
